ID,Status,Phase,Reason
0x02E8,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02E9,SAFE,Gameplay,
0x02EA,SAFE,Gameplay,
0x02EB,SAFE,Gameplay,
0x02EC,SAFE,Gameplay,
0x02ED,CRASH,Other (0x1C),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02EE,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02EF,SAFE,Gameplay,
0x02F0,SAFE,Gameplay,
0x02F1,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02F2,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02F3,SAFE,Gameplay,
0x02F4,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02F5,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02F6,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02F7,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02F8,SAFE,Gameplay,
0x02F9,SAFE,Gameplay,
0x02FA,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x02FB,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02FC,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x02FD,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02FE,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x02FF,SAFE,Gameplay,
0x0300,SAFE,Gameplay,
0x0301,SAFE,Gameplay,
0x0302,SAFE,Gameplay,
0x0303,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0304,SAFE,Gameplay,
0x0305,SAFE,Gameplay,
0x0306,SAFE,Gameplay,
0x0307,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x0308,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x0309,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x030A,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x030B,SAFE,Gameplay,
0x030C,SAFE,Gameplay,
0x030D,SAFE,Gameplay,
0x030E,CRASH,Other (0x00),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x030F,SAFE,Gameplay,
0x0310,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0311,SAFE,Gameplay,
0x0312,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x0313,SAFE,Gameplay,
0x0314,SAFE,Gameplay,
0x0315,SAFE,Gameplay,
0x0316,SAFE,Gameplay,
0x0317,SAFE,Gameplay,
0x0318,SAFE,Gameplay,
0x0319,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x031A,SAFE,Gameplay,
0x031B,SAFE,Gameplay,
0x031C,SAFE,Gameplay,
0x031D,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x031E,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x031F,SAFE,Gameplay,
0x0320,SAFE,Gameplay,
0x0321,SAFE,Gameplay,
0x0322,SAFE,Gameplay,
0x0323,SAFE,Gameplay,
0x0324,SAFE,Gameplay,
0x0325,SAFE,Gameplay,
0x0326,SAFE,Gameplay,
0x0327,SAFE,Gameplay,
0x0328,SAFE,Gameplay,
0x0329,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x032A,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x032B,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x032C,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x032D,SAFE,Gameplay,
0x032E,SAFE,Gameplay,
0x032F,SAFE,Gameplay,
0x0330,SAFE,Gameplay,
0x0331,SAFE,Gameplay,
0x0332,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x0333,SAFE,Gameplay,
0x0334,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0335,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0336,SAFE,Gameplay,
0x0337,SAFE,Gameplay,
0x0338,SAFE,Gameplay,
0x0339,SAFE,Gameplay,
0x033A,SAFE,Gameplay,
0x033B,SAFE,Gameplay,
0x033C,SAFE,Gameplay,
0x033D,SAFE,Gameplay,
0x033E,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x033F,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0340,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0341,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x0342,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0343,SAFE,Gameplay,
0x0344,SAFE,Gameplay,
0x0345,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0346,SAFE,Gameplay,
0x0347,SAFE,Gameplay,
0x0348,CRASH,Other (0x00),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0349,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x034A,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x034B,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x034C,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x034D,CRASH,Other (0x00),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x034E,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x034F,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0350,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x0351,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0352,CRASH,Other (0x00),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0353,SAFE,Gameplay,
0x0354,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0355,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x0356,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0357,CRASH,Other (0x00),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0358,CRASH,Fade In,Stuck in Fade In (0x0D) for >140 frames
0x0359,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x035A,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x035B,SAFE,Gameplay,
0x035C,SAFE,Gameplay,
0x035D,SAFE,Gameplay,
0x035E,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x035F,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x0360,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0361,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x0362,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0363,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0364,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0365,SAFE,Gameplay,
0x0366,SAFE,Gameplay,
0x0367,SAFE,Gameplay,
0x0368,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0369,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x036A,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x036B,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x036C,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x036D,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x036E,CRASH,Other (0x07),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x036F,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x0370,SAFE,Gameplay,
0x0371,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0372,SAFE,Gameplay,
0x0373,SAFE,Gameplay,
0x0374,SAFE,Gameplay,
0x0375,SAFE,Gameplay,
0x0376,SAFE,Gameplay,
0x0377,SAFE,Gameplay,
0x0378,SAFE,Gameplay,
0x0379,SAFE,Gameplay,
0x037A,SAFE,Gameplay,
0x037B,SAFE,Gameplay,
0x037C,SAFE,Gameplay,
0x037D,SAFE,Gameplay,
0x037E,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x037F,CRASH,Other (0x00),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0380,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0381,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0382,CRASH,Other (0x07),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0383,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0384,SAFE,Gameplay,
0x0385,SAFE,Gameplay,
0x0386,SAFE,Gameplay,
0x0387,SAFE,Gameplay,
0x0388,SAFE,Gameplay,
0x0389,SAFE,Gameplay,
0x038A,SAFE,Gameplay,
0x038B,SAFE,Gameplay,
0x038C,SAFE,Gameplay,
0x038D,SAFE,Gameplay,
0x038E,SAFE,Gameplay,
0x038F,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0390,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0391,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x0392,SAFE,Other (0x07),
0x0393,SAFE,Gameplay,
0x0394,SAFE,Gameplay,
0x0395,SAFE,Gameplay,
0x0396,SAFE,Gameplay,
0x0397,SAFE,Gameplay,
0x0398,SAFE,Other (0x07),
0x0399,CRASH,Gameplay,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x039A,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x039B,SAFE,Gameplay,
0x039C,SAFE,Gameplay,
0x039D,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x039E,SAFE,Gameplay,
0x039F,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x03A0,CRASH,Other (0x07),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x03A1,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x03A2,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x03A3,SAFE,Gameplay,
0x03A4,SAFE,Gameplay,
0x03A5,SAFE,Gameplay,
0x03A6,SAFE,Gameplay,
0x03A7,SAFE,Gameplay,
0x03A8,SAFE,Gameplay,
0x03A9,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x03AA,SAFE,Gameplay,
0x03AB,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x03AC,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x03AD,SAFE,Gameplay,
0x03AE,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x03AF,CRASH,Other (0x07),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x03B0,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x03B1,SAFE,Gameplay,
0x03B2,CRASH,Fade In,Stuck in Fade In (0x0D) for >140 frames
0x03B3,SAFE,Gameplay,
0x03B4,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x03B5,SAFE,Gameplay,
0x03B6,SAFE,Gameplay,
0x03B7,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x03B8,SAFE,Gameplay,
0x03B9,SAFE,Gameplay,
0x03BA,SAFE,Gameplay,
0x03BB,SAFE,Gameplay,
0x03BC,SAFE,Gameplay,
0x03BD,SAFE,Gameplay,
0x03BE,SAFE,Gameplay,
0x03BF,SAFE,Gameplay,
0x03C0,SAFE,Gameplay,
0x03C1,SAFE,Gameplay,
0x03C2,SAFE,Gameplay,
0x03C3,SAFE,Gameplay,
0x03C4,SAFE,Gameplay,
0x03C5,SAFE,Gameplay,
0x03C6,SAFE,Gameplay,
